Resumen de cuenta
Nro. de Cta.:,527000001803
Fecha desde:,01/12/2025
Fecha hasta:,28/01/2026

Fecha,Código concepto,Concepto,Débito,Crédito,Saldo,CUIT Transferencia
01/12/2025,364,COPARTICIPACION  -  5229,,"$ 22.027,96","$ 1.521.922,48",
01/12/2025,364,COPARTICIPACION  -  5229,,"$ 63.829,71","$ 1.585.752,19",
01/12/2025,200,DB INMEDIATO  -  315914,"$ -20.000,00",,"$ 1.565.752,19",
01/12/2025,200,DB INMEDIATO  -  318693,"$ -35.000,00",,"$ 1.530.752,19",
01/12/2025,200,DB INMEDIATO  -  319513,"$ -72.000,00",,"$ 1.458.752,19",
01/12/2025,109,TR SFE INT TERCERO  -  643717,"$ -250.000,00",,"$ 1.208.752,19",
01/12/2025,109,TR SFE INT TERCERO  -  947650,"$ -141.100,00",,"$ 1.067.652,19",
01/12/2025,21,IVA GRAL,"$ -209,54",,"$ 1.067.442,65",
01/12/2025,40,GTO ADMCC,"$ -997,79",,"$ 1.066.444,86",
02/12/2025,364,COPARTICIPACION  -  5230,,"$ 27.802,19","$ 1.094.247,05",
02/12/2025,364,COPARTICIPACION  -  5230,,"$ 146.673,11","$ 1.240.920,16",
02/12/2025,251,DEPEFECT  -  169784,,"$ 1.200.000,00","$ 2.440.920,16",
02/12/2025,409,TRANSAC DEBIN  -  898288,,"$ 35.000,00","$ 2.475.920,16",
02/12/2025,410,TRANSF CTALINK  -  35372915,,"$ 5.000,00","$ 2.480.920,16",27340383236
02/12/2025,103,COBERTURAS DE FONDOS  -  141047,"$ -1.494.222,47",,"$ 986.697,69",
02/12/2025,200,DB INMEDIATO  -  317810,"$ -25.000,00",,"$ 961.697,69",
02/12/2025,200,DB INMEDIATO  -  318888,"$ -71.800,00",,"$ 889.897,69",
02/12/2025,21,IVA GRAL  -  646678,"$ -122,28",,"$ 889.775,41",
02/12/2025,141,INTCC S/ACU  -  646678,"$ -582,30",,"$ 889.193,11",
02/12/2025,110,TR SFE EXT TERCERO  -  47238186,"$ -60.000,00",,"$ 829.193,11",27332839514
03/12/2025,364,COPARTICIPACION  -  5231,,"$ 25.981,66","$ 855.174,77",
03/12/2025,364,COPARTICIPACION  -  5231,,"$ 119.694,63","$ 974.869,40",
03/12/2025,103,COBERTURAS DE FONDOS  -  141047,"$ -463.110,25",,"$ 511.759,15",
03/12/2025,200,DB INMEDIATO  -  324895,"$ -50.000,00",,"$ 461.759,15",
04/12/2025,364,COPARTICIPACION  -  5232,,"$ 26.786,69","$ 488.545,84",
04/12/2025,364,COPARTICIPACION  -  5232,,"$ 105.886,25","$ 594.432,09",
04/12/2025,365,COPFEDERAL  -  94501619,,"$ 30.110.071,87","$ 30.704.503,96",
04/12/2025,365,COPFEDERAL  -  94502366,,"$ 222.636,23","$ 30.927.140,19",
04/12/2025,103,COBERTURAS DE FONDOS  -  141047,"$ -624.196,79",,"$ 30.302.943,40",
04/12/2025,109,TR SFE INT TERCERO  -  207124,"$ -61.072,83",,"$ 30.241.870,57",30674365361
04/12/2025,109,TR SFE INT TERCERO  -  219907,"$ -250.000,00",,"$ 29.991.870,57",20351470551
04/12/2025,200,DB INMEDIATO  -  321330,"$ -86.710,00",,"$ 29.905.160,57",
04/12/2025,21,IVA GRAL  -  370126,"$ -56,44",,"$ 29.905.104,13",
04/12/2025,109,TR SFE INT TERCERO  -  370126,"$ -350.000,00",,"$ 29.555.104,13",20168716959
04/12/2025,163,COMTRSITE  -  370126,"$ -268,75",,"$ 29.554.835,38",
04/12/2025,109,TR SFE INT TERCERO  -  425596,"$ -167.020,00",,"$ 29.387.815,38",27340383627
04/12/2025,21,IVA GRAL  -  514153,"$ -63,00",,"$ 29.387.752,38",
04/12/2025,109,TR SFE INT TERCERO  -  514153,"$ -542.255,00",,"$ 28.845.497,38",27270399849
04/12/2025,163,COMTRSITE  -  514153,"$ -300,00",,"$ 28.845.197,38",
04/12/2025,21,IVA GRAL  -  546939,"$ -56,44",,"$ 28.845.140,94",
04/12/2025,109,TR SFE INT TERCERO  -  546939,"$ -460.000,00",,"$ 28.385.140,94",27280193653
04/12/2025,163,COMTRSITE  -  546939,"$ -268,75",,"$ 28.384.872,19",
04/12/2025,21,IVA GRAL  -  848808,"$ -56,44",,"$ 28.384.815,75",
04/12/2025,109,TR SFE INT TERCERO  -  848808,"$ -350.000,00",,"$ 28.034.815,75",20357726760
04/12/2025,163,COMTRSITE  -  848808,"$ -268,75",,"$ 28.034.547,00",
04/12/2025,110,TR SFE EXT TERCERO  -  47710774,"$ -6.000,00",,"$ 28.028.547,00",23403122319
04/12/2025,110,TR SFE EXT TERCERO  -  47795200,"$ -162.470,00",,"$ 27.866.077,00",20293502618
04/12/2025,110,TR SFE EXT TERCERO  -  47795381,"$ -75.000,00",,"$ 27.791.077,00",20332456106
04/12/2025,110,TR SFE EXT TERCERO  -  47795385,"$ -250.000,00",,"$ 27.541.077,00",20280193675
04/12/2025,21,IVA GRAL  -  47795412,"$ -56,44",,"$ 27.541.020,56",
04/12/2025,110,TR SFE EXT TERCERO  -  47795412,"$ -500.000,00",,"$ 27.041.020,56",27377116424
04/12/2025,163,COMTRSITE  -  47795412,"$ -268,75",,"$ 27.040.751,81",
04/12/2025,110,TR SFE EXT TERCERO  -  47795456,"$ -50.000,00",,"$ 26.990.751,81",
04/12/2025,110,TR SFE EXT TERCERO  -  47795480,"$ -219.408,64",,"$ 26.771.343,17",
04/12/2025,110,TR SFE EXT TERCERO  -  47795648,"$ -50.000,00",,"$ 26.721.343,17",
05/12/2025,364,COPARTICIPACION  -  5233,,"$ 28.332,77","$ 26.749.675,94",
05/12/2025,364,COPARTICIPACION  -  5233,,"$ 31.791,36","$ 26.781.467,30",
05/12/2025,109,TR SFE INT TERCERO  -  66624,"$ -70.000,00",,"$ 26.711.467,30",
05/12/2025,103,COBERTURAS DE FONDOS  -  141047,"$ -1.170.411,60",,"$ 25.541.055,70",
05/12/2025,109,TR SFE INT TERCERO  -  280439,"$ -30.000,00",,"$ 25.511.055,70",
05/12/2025,200,DB INMEDIATO  -  321243,"$ -60.000,00",,"$ 25.451.055,70",
